C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%)
ALSO3;ALIANSCSONAE;ON      NM;127.376.805;0,143;
ALPA4;ALPARGATAS;PN      N1;168.770.200;0,308;
ABEV3;AMBEV S/A;ON;4.358.542.894;2,856;
ASAI3;ASSAI;ON      NM;156.928.631;0,500;
AZUL4;AZUL;PN      N2;327.262.616;0,562;
BTOW3;B2W DIGITAL;ON      NM;201.802.882;0,518;
B3SA3;B3;ON      NM;6.119.434.194;3,796;
BIDI4;BANCO INTER;PN      N2;100.239.024;0,086;
BIDI11;BANCO INTER;UNT     N2;453.631.743;1,146;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,304;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;0,598;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,339;
BBDC3;BRADESCO;ON      N1;1.253.093.907;1,055;
BBDC4;BRADESCO;PN      N1;4.261.649.634;4,238;
BRAP4;BRADESPAR;PN      N1;222.604.507;0,569;
BBAS3;BRASIL;ON      NM;1.283.197.221;1,589;
BRKM5;BRASKEM;PNA     N1;264.640.575;0,550;
BRFS3;BRF SA;ON      NM;811.759.800;0,849;
BPAC11;BTGP BANCO;UNT     N2;260.495.794;1,145;
CRFB3;CARREFOUR BR;ON  EJ  NM;391.758.726;0,310;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,559;
CMIG4;CEMIG;PN      N1;1.081.211.185;0,503;
CESP6;CESP;PNB     N1;182.017.689;0,162;
HGTX3;CIA HERING;ON      NM;126.186.408;0,162;
CIEL3;CIELO;ON      NM;1.112.196.638;0,152;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,320;
CPLE6;COPEL;PNB     N1;570.829.074;0,129;
CSAN3;COSAN;ON      NM;1.169.237.744;1,075;
CPFE3;CPFL ENERGIA;ON      NM;187.714.249;0,194;
CVCB3;CVC BRASIL;ON  ES  NM;225.955.651;0,233;
CYRE3;CYRELA REALT;ON      NM;281.154.098;0,242;
DTEX3;DURATEX;ON      NM;273.813.447;0,227;
ECOR3;ECORODOVIAS;ON      NM;172.602.770;0,078;
ELET3;ELETROBRAS;ON      N1;358.018.408;0,600;
ELET6;ELETROBRAS;PNB     N1;242.977.127;0,410;
EMBR3;EMBRAER;ON      NM;736.143.105;0,527;
ENBR3;ENERGIAS BR;ON      NM;231.489.471;0,157;
ENGI11;ENERGISA;UNT     N2;250.679.709;0,436;
ENEV3;ENEVA;ON      NM;1.258.511.620;0,804;
EGIE3;ENGIE BRASIL;ON      NM;254.792.279;0,379;
EQTL3;EQUATORIAL;ON      NM;1.010.286.085;0,938;
EZTC3;EZTEC;ON      NM;95.756.217;0,113;
FLRY3;FLEURY;ON      NM;303.800.430;0,295;
GGBR4;GERDAU;PN      N1;995.903.643;1,119;
GOAU4;GERDAU MET;PN      N1;693.699.918;0,360;
GOLL4;GOL;PN      N2;178.123.292;0,161;
NTCO3;GRUPO NATURA;ON      NM;841.433.075;1,759;
SBFG3;GRUPO SBF;ON      NM;88.709.474;0,120;
HAPV3;HAPVIDA;ON      NM;1.265.256.490;0,729;
HYPE3;HYPERA;ON      NM;410.147.968;0,547;
IGTA3;IGUATEMI;ON      NM;85.796.919;0,136;
MEAL3;IMC S/A;ON      NM;264.441.032;0,042;
GNDI3;INTERMEDICA;ON      NM;593.438.080;1,893;
IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,276;
ITSA4;ITAUSA;PN      N1;4.515.538.171;1,939;
ITUB4;ITAUUNIBANCO;PN      N1;4.770.095.054;5,540;
JBSS3;JBS;ON      NM;1.388.025.890;1,478;
JHSF3;JHSF PART;ON      NM;288.832.602;0,083;
KLBN11;KLABIN S/A;UNT     N2;922.294.338;0,886;
LIGT3;LIGHT S/A;ON      NM;372.555.324;0,219;
LINX3;LINX;ON  ED  NM;147.968.946;0,203;
RENT3;LOCALIZA;ON      NM;593.841.434;1,398;
LCAM3;LOCAMERICA;ON  EJ  NM;323.763.077;0,329;
LWSA3;LOCAWEB;ON      NM;427.663.748;0,422;
LAME3;LOJAS AMERIC;ON      N1;249.502.964;0,197;
LAME4;LOJAS AMERIC;PN      N1;847.010.651;0,692;
AMAR3;LOJAS MARISA;ON      NM;111.476.495;0,037;
LREN3;LOJAS RENNER;ON      NM;887.417.914;1,480;
MGLU3;MAGAZ LUIZA;ON      NM;2.668.955.512;2,110;
MRFG3;MARFRIG;ON      NM;368.864.634;0,255;
BEEF3;MINERVA;ON      NM;240.482.896;0,086;
MOVI3;MOVIDA;ON      NM;132.113.940;0,094;
MRVE3;MRV;ON      NM;293.978.672;0,182;
MULT3;MULTIPLAN;ON      N2;245.888.754;0,226;
NEOE3;NEOENERGIA;ON      NM;226.098.192;0,146;
PCAR3;P.ACUCAR-CBD;ON      NM;156.928.631;0,228;
PETR3;PETROBRAS;ON      N2;3.684.060.179;4,020;
PETR4;PETROBRAS;PN      N2;4.566.457.037;4,943;
BRDT3;PETROBRAS BR;ON      NM;1.164.958.126;1,176;
PRIO3;PETRORIO;ON      NM;807.220.415;0,573;
PSSA3;PORTO SEGURO;ON      NM;93.637.072;0,184;
QUAL3;QUALICORP;ON      NM;283.467.789;0,295;
RADL3;RAIADROGASIL;ON  EJ  NM;1.072.645.150;1,003;
RAPT4;RANDON PART;PN      N1;177.421.406;0,089;
RAIL3;RUMO S.A.;ON      NM;1.218.081.171;0,886;
SBSP3;SABESP;ON      NM;339.999.111;0,470;
SAPR11;SANEPAR;UNT     N2;200.991.234;0,155;
SANB11;SANTANDER BR;UNT;355.642.348;0,561;
CSNA3;SID NACIONAL;ON;642.398.790;1,046;
SULA11;SUL AMERICA;UNT     N2;284.566.116;0,374;
SUZB3;SUZANO S.A.;ON      NM;724.921.241;1,584;
TAEE11;TAESA;UNT     N2;218.568.274;0,305;
VIVT3;TELEF BRASIL;ON;444.219.852;0,709;
TIMS3;TIM;ON  EJ  NM;808.485.985;0,353;
TOTS3;TOTVS;ON      NM;480.228.410;0,658;
UGPA3;ULTRAPAR;ON      NM;1.085.987.426;0,767;
USIM5;USIMINAS;PNA     N1;513.796.208;0,358;
VALE3;VALE;ON  ED  NM;5.130.801.424;20,798;
VVAR3;VIAVAREJO;ON      NM;1.595.508.601;0,919;
WEGE3;WEG;ON      NM;1.482.296.002;1,858;
YDUQ3;YDUQS PART;ON      NM;300.483.575;0,388;